NAME OF HOSPITAL	LOCATION
Phetchabun Hospital	Phetchabun
Si Thep Hospital	Phetchabun
Wang Pong Hospital	Phetchabun
Wichian Buri Hospital	Phetchabun
Ban Laem Hospital	Phetchaburi
Ban Lat Hospital	Phetchaburi
Cha-am Hospital	Phetchaburi
Fort Ramratchaniwet Hospital	Phetchaburi
Kaeng Krachan Hospital	Phetchaburi
Khao Yoi Hospital	Phetchaburi
Nong Ya Plong Hospital	Phetchaburi
Phra Chom Klao Hospital	Phetchaburi
Tha Yang Hospital	Phetchaburi
Bang Mun Nak Hospital	Phichit
Phichit Hospital	Phichit
Pho Prathap Chang Hospital	Phichit
Pho Thale Hospital	Phichit
Sam Ngam Hospital	Phichit
Tapan Hin Crown Prince Hospital	Phichit
Thap Khlo Hospital	Phichit
Wachirabarami Hospital	Phichit
Wang Sai Phun Hospital	Phichit
Bang Krathum Hospital	Phitsanulok
Bang Rakam Hospital	Phitsanulok
Buddhachinaraj Hospital	Phitsanulok
Chat Trakan Hospital	Phitsanulok
Fort Saritsena Hospital	Phitsanulok
Fort Somdet Phra Naresuan Maharat Hospital	Phitsanulok
Nakhon Thai Crown Prince Hospital	Phitsanulok
Noen Ma Prang Hospital	Phitsanulok
Phrom Phiram Hospital	Phitsanulok
Royal Thai Air Force Wing 46 Hospital	Phitsanulok
Wang Thong Hospital	Phitsanulok
Wat Bot Hospital	Phitsanulok
Den Chai Crown Prince Hospital	Phrae
Long Hospital	Phrae
Nong Muang Khai Hospital	Phrae
Phrae Hospital	Phrae
Rong Kwang Hospital	Phrae
Song Hospital	Phrae
Sung Men Hospital	Phrae
Wang Chin Hospital	Phrae
Patong Hospital	Phuket
Thalang Hospital	Phuket
Vachira Phuket Hospital	Phuket
Ban Sang Hospital	Prachinburi
Chaophaya Abhaibhubejhr Hospital	Prachinburi
Fort Chakkraphong Hospital	Prachinburi
Kabin Buri Hospital	Prachinburi
Na Di Hospital	Prachinburi
Prachantakham Hospital	Prachinburi
Si Maha Phot Hospital	Prachinburi
Si Mahosot Hospital	Prachinburi
Bang Saphan Hospital	Prachuap Khiri Khan
Bang Saphan Noi Hospital	Prachuap Khiri Khan
Fort Thanarat Hospital	Prachuap Khiri Khan
